category	explanation	question	opt0	opt1	opt2	opt3	gold
ANAGRAM; S.O	Every answer this week is an anagram of a six-letter girl's name. I'll give you the name and a synonym of its anagram. You tell me the anagram.	Lauren, imaginary	Easter	unreal	A minor	Hamlet	1
ANAGRAM; S.O	Every answer this week is an anagram of a six-letter girl's name. I'll give you the name and a synonym of its anagram. You tell me the anagram.	Marsha, religious retreat for Hindus	unreal	Hamlet	A minor	ashram	3
ANAGRAM; S.O	Every answer this week is an anagram of a six-letter girl's name. I'll give you the name and a synonym of its anagram. You tell me the anagram.	Marion, key of Beethoven's Symphony No. 7 (2 word answer)	A minor	ashram	mirage	Easter	0
WORDPLAY	Here's a list of seven-letter words. For each one, change the first and last letters — but only the first and last letters — to make a new, uncapitalized seven-letter word. Both the first and last letters have to change.	PARTOOK	dignity	cartoon	cordial	martini	1
WORDPLAY	Here's a list of seven-letter words. For each one, change the first and last letters — but only the first and last letters — to make a new, uncapitalized seven-letter word. Both the first and last letters have to change.	TERSELY	cordial	herself	foreleg	cartoon	1
WORDPLAY	Here's a list of seven-letter words. For each one, change the first and last letters — but only the first and last letters — to make a new, uncapitalized seven-letter word. Both the first and last letters have to change.	GUNROOM	dignity	cellist	sunroof	cordial	2
WORDPLAY	Here's a list of seven-letter words. For each one, change the first and last letters — but only the first and last letters — to make a new, uncapitalized seven-letter word. Both the first and last letters have to change.	HELLISH	sarcasm	martini	sunroof	cellist	3
WORDPLAY	Here's a list of seven-letter words. For each one, change the first and last letters — but only the first and last letters — to make a new, uncapitalized seven-letter word. Both the first and last letters have to change.	LORELEI	sarcasm	herself	sunroof	foreleg	3
WORDPLAY	Here's a list of seven-letter words. For each one, change the first and last letters — but only the first and last letters — to make a new, uncapitalized seven-letter word. Both the first and last letters have to change.	CARCASS	cartoon	herself	dignity	sarcasm	3
WORDPLAY	Here's a list of seven-letter words. For each one, change the first and last letters — but only the first and last letters — to make a new, uncapitalized seven-letter word. Both the first and last letters have to change.	GORDIAN	cartoon	martini	cordial	cellist	2
WORDPLAY	Here's a list of seven-letter words. For each one, change the first and last letters — but only the first and last letters — to make a new, uncapitalized seven-letter word. Both the first and last letters have to change.	LIGNITE	sarcasm	foreleg	dignity	herself	2
WORDPLAY	Here's a list of seven-letter words. For each one, change the first and last letters — but only the first and last letters — to make a new, uncapitalized seven-letter word. Both the first and last letters have to change.	PARTING	sunroof	martini	dignity	cartoon	1
ANAGRAM	Every answer today is the name of a famous person with only one name — either because they literally had only one name or because they chose to go by one name in show business. I'll give you anagrams. You name the people.	perch - p	Eminem	Enya	Prince	Cher	3
ANAGRAM	Every answer today is the name of a famous person with only one name — either because they literally had only one name or because they chose to go by one name in show business. I'll give you anagrams. You name the people.	yearn - r	Aesop	Enya	Prince	Solomon	1
ANAGRAM	Every answer today is the name of a famous person with only one name — either because they literally had only one name or because they chose to go by one name in show business. I'll give you anagrams. You name the people.	sleep - s	Eminem	Aesop	Enya	Pele	3
ANAGRAM	Every answer today is the name of a famous person with only one name — either because they literally had only one name or because they chose to go by one name in show business. I'll give you anagrams. You name the people.	operas - r	RuPaul	Pele	Cher	Aesop	3
ANAGRAM	Every answer today is the name of a famous person with only one name — either because they literally had only one name or because they chose to go by one name in show business. I'll give you anagrams. You name the people.	cupular - c	RuPaul	Enya	Solomon	Eminem	0
ANAGRAM	Every answer today is the name of a famous person with only one name — either because they literally had only one name or because they chose to go by one name in show business. I'll give you anagrams. You name the people.	porcine - o	Prince	Geronimo	Cher	RuPaul	0
ANAGRAM	Every answer today is the name of a famous person with only one name — either because they literally had only one name or because they chose to go by one name in show business. I'll give you anagrams. You name the people.	immense - s	RuPaul	Eminem	Liberace	Solomon	1
ANAGRAM	Every answer today is the name of a famous person with only one name — either because they literally had only one name or because they chose to go by one name in show business. I'll give you anagrams. You name the people.	monologs - g	Eminem	Cher	Solomon	Pele	2
ANAGRAM	Every answer today is the name of a famous person with only one name — either because they literally had only one name or because they chose to go by one name in show business. I'll give you anagrams. You name the people.	ergonomic - c	Aesop	Cher	Pele	Geronimo	3
ANAGRAM	Every answer today is the name of a famous person with only one name — either because they literally had only one name or because they chose to go by one name in show business. I'll give you anagrams. You name the people.	bracelike - k	Liberace	Solomon	RuPaul	Eminem	0
I.E	"Categories are given based on the name """"Homer,"""" the name of a town in Alaska. Name something in the category beginning with each of the letters H-O-M-E-R. For example, if the category were """"Chemical Elements,"""" you might say Helium, Oxygen, Magnesium, Einsteinium, and Radon. You can give the answers in any order."	O	Mercury	M	hamburgers	hazelnut, hemlock, hickory	1
I.E	"Categories are given based on the name """"Homer,"""" the name of a town in Alaska. Name something in the category beginning with each of the letters H-O-M-E-R. For example, if the category were """"Chemical Elements,"""" you might say Helium, Oxygen, Magnesium, Einsteinium, and Radon. You can give the answers in any order."	E	Hummer, Hudson, Hupmobile	Mercury	R	maple	2
I.E	"Categories are given based on the name """"Homer,"""" the name of a town in Alaska. Name something in the category beginning with each of the letters H-O-M-E-R. For example, if the category were """"Chemical Elements,"""" you might say Helium, Oxygen, Magnesium, Einsteinium, and Radon. You can give the answers in any order."	trees	maple	mayonaise milk, mustard	redwood rubber	hazelnut, hemlock, hickory	3
I.E	"Categories are given based on the name """"Homer,"""" the name of a town in Alaska. Name something in the category beginning with each of the letters H-O-M-E-R. For example, if the category were """"Chemical Elements,"""" you might say Helium, Oxygen, Magnesium, Einsteinium, and Radon. You can give the answers in any order."	oak	R	maple	M	mayonaise milk, mustard	1
I.E	"Categories are given based on the name """"Homer,"""" the name of a town in Alaska. Name something in the category beginning with each of the letters H-O-M-E-R. For example, if the category were """"Chemical Elements,"""" you might say Helium, Oxygen, Magnesium, Einsteinium, and Radon. You can give the answers in any order."	elm	hamburgers	redwood rubber	M	REO	1
I.E	"Categories are given based on the name """"Homer,"""" the name of a town in Alaska. Name something in the category beginning with each of the letters H-O-M-E-R. For example, if the category were """"Chemical Elements,"""" you might say Helium, Oxygen, Magnesium, Einsteinium, and Radon. You can give the answers in any order."	makes of automobile that are no longer made	hazelnut, hemlock, hickory	maple	hamburgers	Hummer, Hudson, Hupmobile	3
I.E	"Categories are given based on the name """"Homer,"""" the name of a town in Alaska. Name something in the category beginning with each of the letters H-O-M-E-R. For example, if the category were """"Chemical Elements,"""" you might say Helium, Oxygen, Magnesium, Einsteinium, and Radon. You can give the answers in any order."	Oldsmobile	R	hazelnut, hemlock, hickory	Mercury	REO	2
I.E	"Categories are given based on the name """"Homer,"""" the name of a town in Alaska. Name something in the category beginning with each of the letters H-O-M-E-R. For example, if the category were """"Chemical Elements,"""" you might say Helium, Oxygen, Magnesium, Einsteinium, and Radon. You can give the answers in any order."	Edsel	M	mayonaise milk, mustard	REO	R	2
I.E	"Categories are given based on the name """"Homer,"""" the name of a town in Alaska. Name something in the category beginning with each of the letters H-O-M-E-R. For example, if the category were """"Chemical Elements,"""" you might say Helium, Oxygen, Magnesium, Einsteinium, and Radon. You can give the answers in any order."	things commonly found in a refrigerator	hamburgers	Hummer, Hudson, Hupmobile	mayonaise milk, mustard	relish	0
I.E	"Categories are given based on the name """"Homer,"""" the name of a town in Alaska. Name something in the category beginning with each of the letters H-O-M-E-R. For example, if the category were """"Chemical Elements,"""" you might say Helium, Oxygen, Magnesium, Einsteinium, and Radon. You can give the answers in any order."	olives, orange juice, oleo	mayonaise milk, mustard	Mercury	REO	hamburgers	0
I.E	"Categories are given based on the name """"Homer,"""" the name of a town in Alaska. Name something in the category beginning with each of the letters H-O-M-E-R. For example, if the category were """"Chemical Elements,"""" you might say Helium, Oxygen, Magnesium, Einsteinium, and Radon. You can give the answers in any order."	eggs	Mercury	mayonaise milk, mustard	relish	redwood rubber	2
